33367,65240
16361,85467
43129,56268
94019,100079
38299,81963
74191,85467
73057,100977
53267,79725
7873,78517
9018,61541
36960,94019
16194,29807
61541,88887
62898,71374
29807,46365
414,34006
13621,49651
60285,92817
51237,78973
9772,18867
34194,97494
47930,63260
78517,100079
63990,73960
30525,55033
71303,75160
7624,31819
10583,72733
20789,88887
16014,19153
82715,86232
9772,10583
10583,20444
19153,81963
7624,61541
16194,64421
78269,101404
80239,81963
414,83057
7624,67675
11738,28482
12452,85467
33367,72733
37278,96625
28512,91947
18867,51237
15039,20444
56952,82715
53267,89567
26866,90660
74875,100977
58328,74191
29807,33146
34006,67675
8002,67675
11368,74357
47113,77778
32717,91352
18867,75160
52495,99904
12835,97494
7873,12835
18867,71303
82715,96625
58328,92016
16194,55105
8002,78517
71374,97494
18867,100079
16194,80001
414,78446
47930,68131
53267,62898
10583,18867
82715,84062
33382,51234
20444,91947
33367,100079
20789,32557
74875,79321
7624,94428
63689,73538
47113,47930
55105,67675
18867,62898
489,32557
43100,91352
7624,88887
7849,18867
52774,102559
62898,99433
52612,96625
15039,18867
9018,79446
18867,78973
50459,60183
34006,81963
16194,46365
18867,94055
10583,15039
51237,52774
86157,97494
18867,61934
9772,16194
10512,90660
98295,98624
46365,82715
38299,88887
33756,35855
66759,85267
59637,91158
18867,20444
20789,61541
42843,97494
14779,69562
