29807,67675
81963,94019
47728,72733
10583,18867
43129,56268
414,84062
15039,74191
83313,96076
31819,79446
33756,54720
73057,100977
7849,34194
53267,79725
20789,32557
18867,99433
63260,91352
18867,102559
452,42122
20444,81963
36422,58328
47930,74843
68324,94019
61925,93766
9772,51237
81963,86232
414,15039
81963,98244
414,74191
414,18481
33756,82729
7873,102559
1324,91352
13621,49651
60285,92817
36042,70292
47113,64256
7624,15039
63990,73960
30525,55033
75289,79725
9458,71729
55236,97494
70292,100079
51234,100079
6545,17470
52612,96625
20444,94019
33756,81870
63974,101288
16194,32870
90660,91158
13752,80239
27707,81963
50459,60183
46192,53267
18867,71374
7873,99433
80239,81963
18867,53267
42122,43039
33246,70718
414,57355
36825,38031
18867,51237
56952,82715
18867,64421
66759,86157
9549,81963
81963,83313
9018,68102
74875,100977
46365,82715
38299,88887
10583,38031
20444,62898
78973,91158
34006,67675
51237,78517
85467,91158
52495,99904
7873,18867
11738,25621
414,4346
64421,67675
66759,83080
15162,53267
9772,33367
58328,92016
81963,82715
8002,64421
16014,94019
44327,70718
68324,74191
16194,55105
16194,78517
53267,99433
7873,85467
59637,91158
53267,102559
452,9018
43039,81963
8002,18867
33146,94055
78005,97494
7873,53267
74191,81963
14779,69562
62898,78517
